ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
106,State St & Pearson St,State St & Pearson St,27,27,In Service,41.897448,-87.628722,"(41.897448, -87.628722)"
108,Halsted St & Polk St,Halsted St & Polk St,19,19,In Service,41.87184,-87.64664,"(41.87184, -87.64664)"
109,900 W Harrison,Halsted St & Harrison St,19,19,In Service,41.8745,-87.6498,"(41.8745, -87.6498)"
110,State St & Erie St,State St & Erie St,23,22,In Service,41.893975,-87.628623,"(41.893975, -87.628623)"
111,Sedgwick St & Huron St,Sedgwick St & Huron St,19,19,In Service,41.894666,-87.638437,"(41.894666, -87.638437)"
112,Green St & Randolph St,Green St & Randolph St,15,14,In Service,41.884078,-87.648684,"(41.884078, -87.648684)"
113,Bissell St & Armitage Ave,Bissell St & Armitage Ave,15,15,In Service,41.91844,-87.65222,"(41.91844, -87.65222)"
114,Sheffield Ave & Addison St,Sheffield Ave & Addison St,27,26,In Service,41.94688,-87.65445,"(41.94688, -87.65445)"
115,Sheffield Ave & Wellington Ave,Sheffield Ave & Wellington Ave,23,23,In Service,41.936253,-87.653566,"(41.936253, -87.653566)"
116,Western Ave & Winnebago Ave,Western Ave & Winnebago Ave,15,15,In Service,41.915533,-87.687051,"(41.915533, -87.687051)"
117,Wilton Ave & Belmont Ave,Wilton Ave & Belmont Ave,19,19,In Service,41.94018,-87.65304,"(41.94018, -87.65304)"
118,Sedgwick St & North Ave,Sedgwick St & North Ave,19,19,In Service,41.910579,-87.638618,"(41.910579, -87.638618)"
119,Ashland Ave & Lake St,Ashland Ave & Lake St,19,19,In Service,41.88541,-87.66732,"(41.88541, -87.66732)"
120,Wentworth Ave & Archer Ave,Wentworth Ave & Archer Ave,15,15,In Service,41.854564,-87.631937,"(41.854564, -87.631937)"
121,Blackstone Ave & Hyde Park Blvd,Hyde Park,15,15,In Service,41.802562,-87.590368,"(41.802562, -87.590368)"
122,Ogden Ave & Congress Pkwy,Ogden Ave & Congress Pkwy,15,15,In Service,41.87501,-87.67328,"(41.87501, -87.67328)"
123,California Ave & Milwaukee Ave,California Ave & Milwaukee Ave,15,15,In Service,41.922695,-87.697153,"(41.922695, -87.697153)"
124,Damen Ave & Cullerton St,Damen Ave & Cullerton St,15,15,In Service,41.855048,-87.675726,"(41.855048, -87.675726)"
126,Clark St & North Ave,Clark St & North Ave,15,15,In Service,41.911791,-87.631841,"(41.911791, -87.631841)"
127,Lincoln Ave & Fullerton Ave,Lincoln Ave & Fullerton Ave,15,14,In Service,41.925905,-87.64926,"(41.925905, -87.64926)"
128,Damen Ave & Chicago Ave,Damen Ave & Chicago Ave,15,15,In Service,41.895769,-87.67722,"(41.895769, -87.67722)"
129,Blue Island Ave & 18th St,Blue Island Ave & 18th St,15,15,In Service,41.857556,-87.661535,"(41.857556, -87.661535)"
130,Damen Ave & Division St,Damen Ave & Division St,15,14,In Service,41.90331,-87.67695,"(41.90331, -87.67695)"
131,Lincoln Ave & Belmont Ave,Lincoln Ave & Belmont Ave,15,15,In Service,41.939365,-87.668385,"(41.939365, -87.668385)"
132,Wentworth Ave & 24th St,Wentworth Ave & 24th St,15,15,In Service,41.849237,-87.631715,"(41.849237, -87.631715)"
134,Peoria St & Jackson Blvd,Peoria St & Jackson Blvd,19,18,In Service,41.877749,-87.649633,"(41.877749, -87.649633)"
135,Halsted St & 21st St,Halsted St & 21st St,11,11,In Service,41.85378,-87.64665,"(41.85378, -87.64665)"
136,Racine Ave & 13th St,Racine Ave & 13th St,15,15,In Service,41.865054,-87.656959,"(41.865054, -87.656959)"
137,Morgan Ave & 14th Pl,Morgan Ave & 14th Pl,15,14,In Service,41.862378,-87.651062,"(41.862378, -87.651062)"
138,Clybourn Ave & Division St,Clybourn Ave & Division St,15,14,In Service,41.904509,-87.6405,"(41.904509, -87.6405)"
140,Dearborn Pkwy & Delaware Pl,Dearborn Pkwy & Delaware Pl,19,19,In Service,41.899007,-87.629928,"(41.899007, -87.629928)"
141,Clark St & Lincoln Ave,Clark St & Lincoln Ave,23,22,In Service,41.915689,-87.6346,"(41.915689, -87.6346)"
143,Sedgwick St & Webster Ave,Sedgwick St & Webster Ave,15,15,In Service,41.92197,-87.63854,"(41.92197, -87.63854)"
144,Larrabee St & Webster Ave,Larrabee St & Webster Ave,15,15,In Service,41.92175,-87.64401,"(41.92175, -87.64401)"
146,Loomis St & Jackson Blvd,Loomis St & Jackson Blvd,11,11,In Service,41.877945,-87.662007,"(41.877945, -87.662007)"
147,Indiana Ave & 26th St,Indiana Ave & 26th St,15,15,In Service,41.8457,-87.62248,"(41.8457, -87.62248)"
148,State St & 33rd St,State St & 33rd St,11,11,In Service,41.834734,-87.625813,"(41.834734, -87.625813)"
149,Calumet Ave & 33rd St,Calumet Ave & 33rd St,11,11,In Service,41.8349,-87.61793,"(41.8349, -87.61793)"
150,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,11,11,In Service,41.838556,-87.608218,"(41.838556, -87.608218)"
152,Lincoln Ave & Diversey Pkwy,Lincoln Ave & Diversey Pkwy,15,15,In Service,41.932225,-87.658617,"(41.932225, -87.658617)"
153,Southport Ave & Wellington Ave,Southport Ave & Wellington Ave,19,18,In Service,41.93584,-87.6637,"(41.93584, -87.6637)"
154,Southport Ave & Belmont Ave,Southport Ave & Belmont Ave,15,14,In Service,41.93949,-87.66378,"(41.93949, -87.66378)"
156,Clark St & Wellington Ave,Clark St & Wellington Ave,15,15,In Service,41.93649682,-87.64753866,"(41.9364968219, -87.6475386582)"
157,Lake Shore Dr & Wellington Ave,Lake Shore Dr & Wellington Ave,15,14,In Service,41.936669,-87.636794,"(41.936669, -87.636794)"
158,Milwaukee Ave & Wabansia Ave,Milwaukee Ave & Wabansia Ave,15,15,In Service,41.912616,-87.681391,"(41.912616, -87.681391)"
159,Claremont Ave & Hirsch St,1451 N Claremont Ave,11,11,In Service,41.907781,-87.685854,"(41.907781, -87.685854)"
160,Campbell Ave & North Ave,Campbell Ave & North Ave,15,14,In Service,41.910535,-87.689556,"(41.910535, -87.689556)"
162,Damen Ave & Wellington Ave,Damen Ave & Wellington Ave,15,15,In Service,41.93588,-87.67842,"(41.93588, -87.67842)"
163,Paulina St & Diversey Pkwy,Paulina St & Diversey Pkwy,15,15,In Service,41.93186,-87.67079,"(41.93186, -87.67079)"
164,Franklin St & Lake St,Franklin St & Lake St,23,23,In Service,41.885837,-87.6355,"(41.885837, -87.6355)"
165,Clark St & Waveland Ave,Clark St & Waveland Ave,19,19,In Service,41.94893,-87.65775,"(41.94893, -87.65775)"
166,Ashland Ave & Wrightwood Ave,Ashland Ave & Wrightwood Ave,15,14,In Service,41.92883,-87.668507,"(41.92883, -87.668507)"
167,Damen Ave & Coulter St,Damen Ave & Coulter St,11,11,In Service,41.8492,-87.67564,"(41.8492, -87.67564)"
168,Michigan Ave & 14th St,Michigan Ave & 14th St,19,19,In Service,41.864059,-87.623727,"(41.864059, -87.623727)"
169,Canal St & Harrison St,Canal St & Harrison St,15,15,In Service,41.874337,-87.639566,"(41.874337, -87.639566)"
170,Clinton St & 18th St,Clinton St & 18th St,15,15,In Service,41.85795,-87.640826,"(41.85795, -87.640826)"
171,May St & Cullerton St,May St & Cullerton St,11,11,In Service,41.855136,-87.654127,"(41.855136, -87.654127)"
173,Mies van der Rohe Way & Chicago Ave,Mies van der Rohe Way & Chicago Ave,15,14,In Service,41.89691,-87.621743,"(41.89691, -87.621743)"
174,Canal St & Madison St,Canal St & Madison St,23,23,In Service,41.882091,-87.639833,"(41.882091, -87.639833)"
175,Wells St & Polk St,Wells St & Polk St,19,19,In Service,41.872373,-87.633523,"(41.872373, -87.633523)"
176,Clark St & Elm St,Clark St & Elm St,19,19,In Service,41.903233,-87.631253,"(41.903233, -87.631253)"
177,Theater on the Lake,Theater on the Lake,15,14,In Service,41.926277,-87.630834,"(41.926277, -87.630834)"
178,State St & 19th St,State St & 19th St,15,15,In Service,41.856594,-87.627542,"(41.856594, -87.627542)"
179,Martin Luther King Dr & Oakwood Blvd,Off Steet,15,15,In Service,41.82256,-87.61615,"(41.82256, -87.61615)"
181,LaSalle St & Illinois St,On Street,19,19,In Service,41.890749,-87.63206,"(41.890749, -87.63206)"
183,Damen Ave & Augusta Blvd,Damen Ave & Augusta Blvd,15,15,In Service,41.899714,-87.677234,"(41.899714, -87.677234)"
184,State St & 35th St,State St & 35th St,19,19,In Service,41.83104,-87.62688,"(41.83104, -87.62688)"
185,Stave St & Armitage Ave,Stave St & Armitage Ave,11,11,In Service,41.917741,-87.691392,"(41.917741, -87.691392)"
186,Ogden Ave & Race Ave,Ogden Ave & Race Ave,15,15,In Service,41.891795,-87.658751,"(41.891795, -87.658751)"
188,Greenview Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,15,15,In Service,41.92533,-87.6658,"(41.92533, -87.6658)"
190,Southport Ave & Wrightwood Ave,Southport Ave & Wrightwood Ave,15,14,In Service,41.92888,-87.66317,"(41.92888, -87.66317)"
191,Canal St & Monroe St,Canal St & Monroe St,23,23,In Service,41.8807,-87.63947,"(41.8807, -87.63947)"
192,Canal St & Adams St,Canal St & Adams St,27,27,In Service,41.87923,-87.640015,"(41.87923, -87.640015)"
193,State St & 29th St,State St & 29th St,15,15,In Service,41.841707,-87.626938,"(41.841707, -87.626938)"
194,State St & Wacker Dr,State St & Wacker Dr,11,11,In Service,41.887155,-87.62775,"(41.887155, -87.62775)"
195,Columbus Dr & Randolph St,Columbus Dr & Randolph St,23,23,In Service,41.8853,-87.62077,"(41.8853, -87.62077)"
196,Cityfront Plaza & N Water St,Off Street,19,19,In Service,41.889875,-87.621994,"(41.889875, -87.621994)"
197,Michigan Ave & Madison St,Michigan Ave & Madison St,19,19,In Service,41.882134,-87.625125,"(41.882134, -87.625125)"
198,Halsted St & Madison St,Halsted St & Madison St,19,19,In Service,41.88175,-87.6478,"(41.88175, -87.6478)"
199,Wabash Ave & Grand Ave,Wabash Ave & Grand Ave,15,15,In Service,41.891738,-87.626937,"(41.891738, -87.626937)"
200,King Dr & 47th St,King Dr & 47th St,11,11,In Service,41.809851,-87.616279,"(41.809851, -87.616279)"
201,Indiana Ave & 40th St,Indiana Ave & 40th St,15,15,In Service,41.82168,-87.6216,"(41.82168, -87.6216)"
202,Halsted St & 18th St,Halsted St & 18th St,15,15,In Service,41.857499,-87.646277,"(41.857499, -87.646277)"
203,Western Ave & 21st St,Western Ave & 21st St,15,15,In Service,41.85394,-87.685243,"(41.85394, -87.685243)"
204,Prairie Ave & Garfield Blvd,Prairie Ave & Garfield Blvd,15,15,In Service,41.7951,-87.61936,"(41.7951, -87.61936)"
205,Paulina St & 18th St,Paulina St & 18th St,15,15,In Service,41.857901,-87.668745,"(41.857901, -87.668745)"
206,Halsted St & Archer Ave,Halsted St & Archer Ave,15,15,In Service,41.847203,-87.646795,"(41.847203, -87.646795)"
207,Emerald Ave & 28th St,Emerald Ave & 28th St,15,15,In Service,41.84358,-87.645368,"(41.84358, -87.645368)"
208,Ashland Ave & 21st St,Ashland Ave & 21st St,13,13,In Service,41.85381,-87.665897,"(41.85381, -87.665897)"
209,Normal Ave & Archer Ave,Normal Ave & Archer Ave,11,11,In Service,41.849527,-87.640591,"(41.849527, -87.640591)"
210,Ashland Ave & Division St,Ashland Ave & Division St,19,18,In Service,41.903456,-87.66777,"(41.903456, -87.66777)"
211,St Clair St & Erie St,St Clair St & Erie St,19,19,In Service,41.894448,-87.622663,"(41.894448, -87.622663)"
212,Wells St & Ohio St,Wells St & Ohio St,19,19,In Service,41.892238,-87.633985,"(41.892238, -87.633985)"
213,Leavitt St & North Ave,Leavitt St & North Ave,11,11,In Service,41.910652,-87.6824,"(41.910652, -87.6824)"
214,Damen Ave & Grand Ave,Damen Ave & Grand Ave,15,15,In Service,41.89122,-87.67686,"(41.89122, -87.67686)"
215,Damen Ave & Madison St,Damen Ave & Madison St,15,15,In Service,41.88137,-87.67493,"(41.88137, -87.67493)"
216,California Ave & Division St,California Ave & Division St,15,15,In Service,41.903029,-87.697474,"(41.903029, -87.697474)"
217,May St & Fulton St,May St & Fulton St,15,15,In Service,41.886773,-87.656001,"(41.886773, -87.656001)"
218,Wells St & 19th St,Wells St & 19th St,11,11,In Service,41.856802,-87.633879,"(41.856802, -87.633879)"
219,Damen Ave & Cortland St,Damen Ave & Cortland St,11,11,In Service,41.916027,-87.677411,"(41.916027, -87.677411)"
220,Hampden Ct & Diversey Pkwy,Hampden Ct & Diversey Pkwy,19,19,In Service,41.93262,-87.642385,"(41.93262, -87.642385)"
222,Milwaukee Ave & Rockwell St,Milwaukee Ave & Rockwell St,19,19,In Service,41.920195,-87.693033,"(41.920195, -87.693033)"
223,Clifton Ave & Armitage Ave,Clifton Ave & Armitage Ave,15,15,In Service,41.918216,-87.656936,"(41.918216, -87.656936)"
224,Halsted St & Willow St,Halsted St & Willow St,19,19,In Service,41.913778,-87.64884,"(41.913778, -87.64884)"
225,Halsted St & Dickens Ave,Halsted St & Dickens Ave,15,13,In Service,41.919936,-87.64883,"(41.919936, -87.64883)"
226,Racine Ave & Belmont Ave,Racine Ave & Belmont Ave,15,15,In Service,41.939743,-87.658865,"(41.939743, -87.658865)"
227,Southport Ave & Waveland Ave,Southport Ave & Waveland Ave,15,15,In Service,41.94815,-87.66394,"(41.94815, -87.66394)"
228,Damen Ave & Melrose Ave,Damen Ave & Melrose Ave,11,11,In Service,41.9406,-87.6785,"(41.9406, -87.6785)"
229,Southport Ave & Roscoe St,Southport Ave & Roscoe St,19,19,In Service,41.943739,-87.66402,"(41.943739, -87.66402)"
230,Lincoln Ave & Roscoe St,Lincoln Ave & Roscoe St,19,18,In Service,41.94334,-87.67097,"(41.94334, -87.67097)"
231,Sheridan Rd & Montrose Ave,Sheridan Rd & Montrose Ave,15,15,In Service,41.96167,-87.65464,"(41.96167, -87.65464)"
232,Pine Grove Ave & Addison St,Pine Grove Ave & Addison St,15,15,In Service,41.947836,-87.645416,"(41.947836, -87.645416)"
233,Sangamon St & Washington Blvd,Sangamon St & Washington Blvd,15,15,In Service,41.883004,-87.651148,"(41.883004, -87.651148)"
234,Clark St & Montrose Ave,Clark St & Montrose Ave,19,19,In Service,41.961588,-87.666036,"(41.961588, -87.666036)"
236,Sedgwick St & Schiller St,Sedgwick St & Schiller St,15,15,In Service,41.907576,-87.638517,"(41.907576, -87.638517)"
237,Martin Luther King Dr & 29th St,MLK Jr Dr & 29th St,15,15,In Service,41.842052,-87.617,"(41.842052, -87.617)"
238,Ravenswood Ave & Montrose Ave,Ravenswood Ave & Montrose Ave,15,15,In Service,41.961626,-87.674101,"(41.961626, -87.674101)"
239,Western Ave & Leland Ave,Western Ave & Leland Ave,15,15,In Service,41.966555,-87.688487,"(41.966555, -87.688487)"
240,Sheridan Rd & Irving Park Rd,Sheridan Rd & Irving Park Rd,11,11,In Service,41.95434,-87.654601,"(41.95434, -87.654601)"
241,Morgan St & Polk St,Morgan St & Polk St,15,15,In Service,41.871737,-87.65103,"(41.871737, -87.65103)"
242,Damen Ave & Leland Ave,Damen Ave & Leland Ave,15,14,In Service,41.967094,-87.679028,"(41.967094, -87.679028)"
243,Lincoln Ave & Leavitt St,Lincoln Ave & Leavitt St,15,14,In Service,41.962391,-87.684146,"(41.962391, -87.684146)"
244,Ravenswood Ave & Irving Park Rd,Ravenswood Ave & Irving Park Rd,19,18,In Service,41.95469,-87.67393,"(41.95469, -87.67393)"
245,Clarendon Ave & Junior Ter,Clarendon Ave & Junior Ter,15,15,In Service,41.961004,-87.649603,"(41.961004, -87.649603)"
246,Ashland Ave & Belle Plaine Ave,Ashland Ave & Belle Plaine Ave,11,11,In Service,41.956061,-87.668869,"(41.956061, -87.668869)"
247,Shore Drive & 55th St,Shore Drive & 55th St,15,15,In Service,41.795212,-87.580715,"(41.795212, -87.580715)"
248,Woodlawn Ave & 55th St,Woodlawn Ave & 55th St,15,15,In Service,41.795264,-87.596471,"(41.795264, -87.596471)"
249,Montrose Harbor,Montrose Harbor,15,15,In Service,41.963982,-87.638181,"(41.963982, -87.638181)"
250,Ashland Ave & Wellington Ave,Ashland Ave & Wellington Ave,19,19,In Service,41.936083,-87.669807,"(41.936083, -87.669807)"
251,Clarendon Ave & Leland Ave,Clarendon Ave & Leland Ave,15,15,In Service,41.967968,-87.650001,"(41.967968, -87.650001)"
252,Greenwood Ave & 47th St,Greenwood Ave & 47th St,15,15,In Service,41.809835,-87.599383,"(41.809835, -87.599383)"
253,Clifton Ave & Lawrence Ave,Clifton Ave & Lawrence Ave,15,12,In Service,41.968873,-87.658857,"(41.968873, -87.658857)"
254,Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Irving Park Rd,15,15,In Service,41.954383,-87.648043,"(41.954383, -87.648043)"
255,Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,31,31,In Service,41.867888,-87.623041,"(41.867888, -87.623041)"
256,Broadway & Sheridan Rd,Broadway & Sheridan Rd,15,15,In Service,41.952833,-87.649993,"(41.952833, -87.649993)"
257,Lincoln Ave & Waveland Ave,Lincoln Ave & Waveland Ave,15,15,In Service,41.94911,-87.675112,"(41.94911, -87.675112)"
258,Logan Blvd & Elston Ave,Logan Blvd & Elston Ave,19,19,In Service,41.930584,-87.685126,"(41.930584, -87.685126)"
259,California Ave & Francis Pl,California Ave & Francis Pl,15,15,In Service,41.91855,-87.69723,"(41.91855, -87.69723)"
260,Kedzie Ave & Milwaukee Ave,Kedzie Ave & Milwaukee Ave,19,19,In Service,41.929567,-87.707857,"(41.929567, -87.707857)"
261,Hermitage Ave & Polk St,Hermitage Ave & Polk St,15,15,In Service,41.871514,-87.669886,"(41.871514, -87.669886)"
262,Halsted St & 37th St,On Street,11,11,In Service,41.827071,-87.645801,"(41.827071, -87.645801)"
263,Rhodes Ave & 32nd St,Rhodes Ave & 32nd St,11,11,In Service,41.836208,-87.613533,"(41.836208, -87.613533)"
264,Stetson Ave & South Water St,Stetson Ave & South Water St,19,19,In Service,41.886835,-87.62232,"(41.886835, -87.62232)"
265,Cottage Grove Ave & Oakwood Blvd,Cottage Grove Ave & Oakwood Blvd,15,15,In Service,41.822985,-87.6071,"(41.822985, -87.6071)"
267,Lake Park Ave & 47th St,Lake Park Ave & 47th St,15,15,In Service,41.809443,-87.591875,"(41.809443, -87.591875)"
268,Lake Shore Dr & North Blvd,Lake Shore Dr & North Blvd,15,15,In Service,41.911722,-87.626804,"(41.911722, -87.626804)"
